Titre,Lien,Date,Contenu
La Rédaction,https://realites.com.tn/fr/author/realites5201/,03-04-2022,"« La Tunisie œuvre à élaborer un programme réel, pour dynamiser l’économie nationale, qui sera réalisé, selon un planning conforme aux moyens dont dispose l’Etat » a indiqué Nasreddine Nsibi, ministre de…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,03-04-2022,"Les années 2020 s’avèrent être une période agitée de chocs et d’incertitudes. Au moment où l’économie mondiale semblait tourner la page de la pandémie de Covid-19, un autre événement important…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,01-04-2022,L’innovation joue un rôle déterminant dans l’économie numérique et les processus de survie des entreprises. D’ailleurs c’est l’une des raisons ayant amené l’APII à placer l’innovation comme un outil d’intérêt…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,01-04-2022,"Les Banques et établissements de leasing se sont adossés, à travers leur corporation (Association professionnelle des banques et établissements financiers APTBEF), à l’agence de notation financière PBR Rating pour réaliser…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,30-03-2022,"Aujourd’hui, le ministre de l’Économie et de la Planification Samir Saied, l’ambassadrice britannique Helen Winterton et la Chambre de commerce tuniso-britannique ont accueilli un nombre important des banques et des…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,30-03-2022,"Lors de sa réunion tenue le 30 mars 2022, le Conseil d’Administration a examiné les dernières évolutions économiques et financières et a décidé de maintenir le taux directeur de la…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,29-03-2022,"L’Union Tunisienne de l’industrie, du commerce et de l’artisanat (UTICA) a accueilli ce 29 mars 2022, une réunion regroupant les responsables des organisations patronales des pays francophones, au cours de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,29-03-2022,"L’examen des moyens permettant de booster les échanges commerciaux entre la Tunisie et le Canada, la promotion de l’exportation de l’huile d’olive et des produits artisanaux et l’importation céréalière, ont…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,23-03-2022,"Une visite officielle sera effectuée en Tunisie les 24 et 25 mars 2022 par une délégation du Fonds Monétaire International (FMI). Très attendue, elle portera sur le nouveau programme de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,23-03-2022,"Le bureau exécutif de l’Union tunisienne de l’agriculture et de la pêche (UTAP) a revendiqué une volonté politique de sauver le secteur agricole, en tant que filière stratégique permettant de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,23-03-2022,"Au cours du mois de février 2022, la balance commerciale alimentaire a enregistré  un déficit de 378,6 millions de dinars, contre un déficit de 180,6 MD durant la même période…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,21-03-2022,"Deux tiers des Tunisiens ne disposent pas d’un compte bancaire, a indiqué lundi, le président de l’Observatoire de l’Inclusion Financière, Abdelatif Hedia, soulignant que l’accès à un compte bancaire reste…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,18-03-2022,"Cet atelier de travail a été organisé les 17 et 18 mars 2022, à Hammamet, Tunisie, dans le cadre du Projet STED-AMT « Compétences pour le commerce et la diversification…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,18-03-2022,"Consciente du nécessaire soutien aux opportunités d’investissement qui s’offrent aux entreprises tunisiennes, l’Association Professionnelle Tunisienne des Banques et des Etablissements Financiers (APTBEF)annonce sa participation active et souligne son engagement dans…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,17-03-2022,"Dans le cadre de son cycle de conférences intitulé « Les Jeudis de l’Afrique », la South Mediterranean University (SMU : MSB/MedTech/LCI), dont le Campus se situe aux Berges du Lac 2 à…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,17-03-2022,"L’APTBEF (Association professionnelle tunisienne des banques et des établissements financiers) et PBR Rating, agence de notation financière tunisienne, marquent leur collaboration dans le cadre des travaux d’observation des risques financiers…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,17-03-2022,"Les négociations du titre de la Société tunisienne d’automobiles (STA) sur le marché principal de la cote ont démarré, le 17 mars 2022, à un prix de 17 dinars l’action,…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,15-03-2022,C’est une excellente nouvelle pour l’économie locale à Ben Arous. Une unité japonaise de production d’airbags – Alva One – a été inaugurée ce mardi 15 mars 2022 dans la…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,15-03-2022,Le Salon de l’Agriculture Biologique et de l’Agroalimentaire « Bio –Expo 2022 » en partenariat avec « la DGAB » et « UNOBIO » ouvre ses portes le jeudi 24…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,15-03-2022,"Le Conseil d’administration de la Banque centrale de Tunisie a décidé, au cours d’une réunion exceptionnelle tenue lundi, de maintenir le taux directeur inchangé à 6,25%. L’examen des répercussions économiques…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,14-03-2022,"Les chiffres de l’inflation sont tombés. Selon l’Institut National des Statistiques (INS), la hausse des prix a atteint 6,7% en janvier 2022, contre 6,6% en décembre 2021, 6,4% en novembre…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,12-03-2022,"Plus de 3000 tonnes (3028) de produits subventionnés et de denrées alimentaires diverses ainsi que plus de 620 tonnes de céréales, légumineuses et produits fourragers ont été saisies les 10…"
Les risques imminents de « stagflation » mondiale,https://realites.com.tn/fr/les-risques-imminents-de-stagflation-mondiale/,12-03-2022,"L’inflation et la croissance du PIB sont les deux moteurs les plus puissants d’une économie moderne. Bien que de manière différente, ils influencent tous deux les principales décisions concernant le…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,12-03-2022,"L’inflation confirme sa tendance haussière au mois de janvier 2022, en augmentant pour le quatrième mois consécutif, pour s’établir à 6,7% contre 6,6% en décembre, 6,4% en novembre et 6,3%…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-03-2022,"Les investissements approuvés dans le secteur agricole ont atteint, fin février, 100,1 millions de dinars, pour 449 opérations, enregistrant ainsi une évolution de 9,2% en termes de nombre et de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-03-2022,"Le président de l’Union Tunisienne de l’Industrie, du Commerce et de l’Artisanat(UTICA), Samir Majoul a eu, vendredi à Rome(Italie), un entretien avec le président de la Confédération générale de l’industrie…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-03-2022,"Le taux de change du dinar tunisien s’est déprécié par rapport au dollar, puisque 1 dollar vaut 2,966 dinars, à la date du 9 mars 2022, alors qu’il valait à…"
Forum sur l’attractivité des territoires les 16 et 17 mars à Sousse,https://realites.com.tn/fr/forum-sur-lattractivite-des-territoires-les-16-et-17-mars-a-sousse/,11-03-2022,Cities Alliance Tunisie en partenariat avec l’instance générale de prospection et d’accompagnement du processus décentralisé (IPAPD) et l’Association tunisienne des Urbanistes (ATU) organisent un forum sur l’attractivité des territoires. Ayant…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,10-03-2022,"Les recettes d’exportation de l’huile d’olive enregistrées, à fin janvier 2022, se sont élevées à 620,6 millions de dinars (MD), soit en hausse de 32%, par rapport à la même…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,09-03-2022,L’Office Tunisien du Blé a-t-il réellement refusé d’importer du blé d’Ukraine ? C’est ce qu’ont indiqué des commerçants européens qui se sont confiés à l’agence Reuters ce mercredi 9 mars…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,08-03-2022,"Sami Bouaziz, directeur central de l’Office national du Commerce, a indiqué ce mardi 8 mars 2022 que le taux de remplissage et de distribution de l’office en produits de consommation,…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,07-03-2022,"Le marché Boursier a débuté semaine dans l’hésitation, s’effritant de (-0,03%) au cours de la séance du lundi, 7 mars 2022, à 7117,45 points. Les volumes échangés se sont établis…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,07-03-2022,"«Le total des engagements collectés depuis l’ouverture de l’opération de souscription à la première tranche de l’emprunt national a atteint jusqu’à présent, 530 millions de dinars (MD), soit 150% de…"
Economie,https://realites.com.tn/fr/category/economie/,04-03-2022,Le coup d’envoi du Forum Ba’der pour l’économie créative a été donné ce vendredi 4 mars 2022 à la cité de la Culture à Tunis en présence notamment de la…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,04-03-2022,"Les investissements déclarés dans les activités de service ont augmenté de 174,4%, à fin janvier 2022, pour se situer au niveau de 129, 5 millions de dinars (MD), contre 47,2…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,04-03-2022,"Une manifestation de promotion de l’huile d’olive tunisienne au Caire en Egypte, sera organisée, les 13 et 14 mars 2022, par le CEPEX en coordination avec l’Ambassade de Tunis au…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,03-03-2022,"Les revenus du travail cumulés ont augmenté de 27%, durant les deux mois de janvier et février 2022, par rapport à la même période de 2021, pour atteindre 1175 millions…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,01-03-2022,"A l’issue de sa rencontre avec la Cheffe du gouvernement, Najla Bouden, l’ambassadrice du Royaume-Uni en Tunisie, Helen Winterton, a assuré que son pays est prêt à soutenir la Tunisie…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,28-02-2022,"Comme il fallait s’y attendre, les prix à la pompe devraient augmenter en Tunisie, et ce dès la soirée de ce lundi 28 février 2022 selon des sources concordantes. La…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,26-02-2022,"Une conférence sur le cadre juridique de l’investissement dans le monde arabe s’est tenue, vendredi, à Tunis, en marge du 10e Congrès des l’Organisation arabe des jeunes avocats. Un événement…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,25-02-2022,"Les stocks actuels de céréales couvrent les besoins du pays jusqu’ à juin 2022, a indiqué, vendredi, le ministère de l’Agriculture, des Ressources hydrauliques et de la Pêche. En réaction…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,24-02-2022,"L’APTBEF (Association Professionnelle Tunisienne des Banques et des Etablissements financiers) co-organise avec Peco Energy et le Chapitre tunisien de l’AE E,la troisième édition de Wenercon 2022,placée cette année sous le…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,24-02-2022,Le lancement officiel du Fonds INNOVATECH était prévu pour mercredi 23 février 2022 pour annoncer le démarrage de la période d’investissement du Fonds après que l’ensemble des préalables à la…
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,23-02-2022,"Bayrem Hamada, secrétaire général de la fédération nationale des agrumes a indiqué mercredi, que la récolte des agrumes pour la saison 2021/2022 affronte des difficultés au niveau de la commercialisation…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,23-02-2022,"La Bourse de Tunis vient d’obtenir la certification ISO 2000-1 :2018 relative au système de management des services (SMS), délivrée par l’Association française de normalisation (AFNOR) Certification, devenant ainsi la…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,22-02-2022,"La crise du secteur immobilier que traverse la Tunisie depuis plusieurs années s’est creusée avec la pandémie de Covid-19. Face à l’explosion des prix des logements et des terrains, il…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,22-02-2022,"L’indice Tunindex a clôturé le mois de janvier 2022 à 7 092,84 points, enregistrant, un gain de 0,66% après une légère hausse de 0,04%, durant le mois de décembre 2021,…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,17-02-2022,"Durant les deux premières semaines de février 2022, les équipes de contrôle économique relevant de la direction régionale du commerce à Tozeur ont relevé 77 infractions économiques à l’issue de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,17-02-2022,Le webinaire qu’a organisé mercredi 16 février 2022 la Chambre Tuniso-Française de Commerce et d’Industrie (CTFCI) et Business France-Tunisie sur le thème : Les outils français de financement des PME a…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,17-02-2022,Le Groupement professionnel de l’industrie de la boulangerie et de la pâtisserie relevant du syndicat patronal CONECT a décidé d’observer une grève générale ouverte devant le siège du ministère du…
Jusqu’à 400 millions de dollars de la part de la BM pour la Tunisie et plus encore,https://realites.com.tn/fr/jusqua-400-millions-de-dollars-de-la-part-de-la-bm-pour-la-tunisie-et-plus-encore/,15-02-2022,"Le vice-président du bureau de la Banque Mondiale de la région MENA, Ferid Belhaj, a été accueilli par le président de la République, Kaïs Saïed, et par la Cheffe du…"
H. B.H,https://realites.com.tn/fr/author/hajerbhass9921/,15-02-2022,Les cultivateurs des graines de tournesol noires dans le nord-ouest du pays ont exprimé ce mardi 15 février 2022 au marché des graines de Bejà leur colère face à la…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,14-02-2022,"Deux mois seulement après l’introduction en bourse, le 30 décembre dernier, de Smart Tunisie, c’est au tour de la Société Tunisienne d’Automobiles (STA) de se présenter à la cloche. Cette…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,12-02-2022,"La Tunisie participera au Salon international des produits de la mer  » SEAFOOD’2022 « , qui sera organisé du 26 au 28 Avril 2022, à Barcelone(Espagne), à l’initiative de l’Agence de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,05-02-2022,Les Autorités tunisiennes et les représentants de la Coopération suisse en Tunisie se sont réunis ce vendredi 4 février au Ministère de l’Économie et de la Planification pour le 11e…
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,04-02-2022,"Les startups tunisiennes continuent de faire des étincelles. Après InstaDeep, c’est au tour de Mos de réaliser une belle levée de fonds de 40 millions de dollars. C’est une prouesse…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,04-02-2022,"Le flux des investissements internationaux a enregistré, en 2021, une baisse de 0,5% pour atteindre un montant de 1876,3 MD, contre 1885,9 MD, au cours de la même période de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,02-02-2022,Tataouine : Plus de 15 millions de dinars d’avantages pour les investissements agricoles en 2021 Le comité régional d’octroi des avantages spécifiques aux investissements agricoles de Tataouine a accordé une…
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,01-02-2022,"Pour trouver l’argent nécessaire au versement des salaires des fonctionnaires, l’État, selon plusieurs observateurs, a dû puiser dans les réserves de la Poste Tunisienne. Il s’agirait d’une enveloppe de 700…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,01-02-2022,"L’Exécutif, que ce soit le gouvernement ou la présidence de la République, a mis du temps pour réagir aux deux retards successifs observés dans le versement des salaires de la…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,01-02-2022,"Une opération à succès pour Boeing. Qatar Airways a commandé, lundi 31 janvier, 34 versions cargo du nouveau gros-porteur du constructeur aéronautique américain, le 777X, avec une option pour 16…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,01-02-2022,"Dans un communiqué publié lundi 31 janvier, le ministère du Tourisme et de l’Artisanat annonce que L’activité croisières va bientôt reprendre. « Après un arrêt de presque deux ans, le premier…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,31-01-2022,"Le versement des salaires de la fonction publique, notamment dans le secteur de l’éducation, a pris beaucoup de retard en ce mois de janvier 2022. Du 18 de chaque mois,…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,31-01-2022,"Depuis plusieurs jours, le cours du pétrole n’a cessé de flamber dans le monde. A la date de ce lundi 31 janvier 2022, le baril de brent a atteint 91,1…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,30-01-2022,"Moez Belkhiria, PDG de BSB Toyota, concessionnaire officiel de la marque Toyota en Tunisie a accordé à Réalités une interview exclusive où il a exprimé des inquiétudes par rapport à…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,30-01-2022,Le TABC (Tunisia- Africa Business Council) a organisé hier samedi 29 janvier 2022 un séminaire sur « Le développement à l’international des entreprises tunisiennes: Défis et opportunités ». Le Ministre…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,29-01-2022,"Un dollar est échangé à 2,904 dinars, à la date du 27 janvier 2022, alors qu’il valait, à la même date de l’année 2021, 2,709 dinars, ce qui représente une…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,28-01-2022,Les pouvoirs publics ont-ils réellement eu recours à la planche à billets pour disposer d’assez de liquidité afin de payer les salaires de la fonction publique ? Aux yeux de…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,28-01-2022,"Habib Mrabet, commissaire régional au développement agricole à Bizerte, a indiqué qu’une enveloppe moyennant 44,7 MD a été accordée au cours de l’année 2021 pour financer 365 projets agricoles soit…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,27-01-2022,"Le déficit budgétaire s’est réduit de 15%, à fin novembre 2021, à 4,86 milliards de dinars, selon le document de l’exécution du budget de l’Etat, publié jeudi, par le ministère…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,25-01-2022,"L’Agence de Promotion de l’Industrie et de l’Innovation (APII) a annoncé ce mardi dans son bulletin de conjoncture, une diminution de 25,8% des investissements déclarés dans le secteur industriel, pour…"
Anis Morai présente “Diwan el Business” du lundi au vendredi sur Diwan Fm,https://realites.com.tn/fr/anis-morai-presente-diwan-el-business-du-lundi-au-vendredi-sur-diwan-fm/,25-01-2022,"Diwan Fm est sûrement la chaîne radio qui a fait le plus parler d’elle lors de la rentrée 2021/2022, en engageant des investissements importants et en attaquant la diffusion sur…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,24-01-2022,Le Centre de Promotion des Exportations (CEPEX) organise la participation tunisienne à la première édition du Salon international de l’alimentation (Sial America 2022) qui se tiendra du 22 au 24…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,21-01-2022,"Les crédits à la clientèle ont connu une hausse de 5,3% en 2020, contre 4,1% en 2019, pour atteindre 89, 728 milliards de dinars, selon le rapport annuel sur la…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,21-01-2022,"L’encours des crédits à l’économie a enregistré en 2020, une progression de 5%, contre 3,1% en 2019 pour s’établir à 95 009 MD, a indiqué la BCT dans son rapport…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,21-01-2022,"Selon un rapport sur  » Les entreprises publiques « , récemment publié par le ministère des Finances, le déficit de couverture des coûts par la tarification et les créances non réglées…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,21-01-2022,"La Fédération nationale du transport relevant de l’UTICA vient de tenir une importante réunion au siège de la centrale patronale. Présidée par M. Salem Nabgha, président de la Fédération, cette…"
Le coup d’Etat en Birmanie pousse TotalEnergies à se retirer du Myanmar,https://realites.com.tn/fr/le-coup-detat-en-birmanie-pousse-totalenergies-a-se-retirer-du-myanmar/,21-01-2022,"Dans un communiqué rendu public ce vendredi 21 janvier 2022, TotalEnergies a annoncé officiellement son retrait Myanmar, un an après le coup d’Etat survenu dans le pays. Voici le communiqué…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,19-01-2022,"Carthage Cement clôture l’année 2021 avec une nouvelle performance. En effet le chiffre d’affaires total a atteint 325 millions de dinars, soit une hausse de 29% comparé à 2020 et…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,18-01-2022,"Les prix du pétrole sont au plus haut depuis 2014. Au-delà des tensions géopolitiques mondiales, le secteur paye le sous-investissement de ces dernières années. Qu’il semble loin, le temps où…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,18-01-2022,"Pour faire face à la nouvelle vague épidémiologique, le ministère du Commerce et du développement des exportations a annoncé ce mardi 18 janvier 2022 les mesures préventives qui devraient être…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,18-01-2022,"Mercredi 12 janvier 2022, le World Economic Forum a publié la 17ème édition du rapport sur les risques mondiaux, basé sur une enquête de perception réalisée en mai 2021 sur…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,15-01-2022,"Les recettes touristiques se sont élevées à 37,8 millions de dinars (MD), durant les dix premiers jours de 2022, en hausse de 19%, par rapport à la même période de…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,15-01-2022,"L’unique et la seule banque de développement en Tunisie, la BFPME, fait face aujourd’hui à plusieurs difficultés financières qui ne datent pas d’aujourd’hui mais qui remontent plutôt à de nombreuses…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,13-01-2022,"Etant donne que le tissu économique tunisien est principalement constitué de PMEs aspirant à évoluer dans le domaine de l’innovation et de la technologie, il a été jugé opportun d’amorcer…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,12-01-2022,"Selon une note de l’Observatoire National de l’Agriculture (Onagri), le déficit de la balance commerciale alimentaire a plus que doublé, pour atteindre 1946,4 millions de dinars (MD) en 2021, contre…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-01-2022,"La ministre des Finances, Sihem Boughediri Nemsia a indiqué que la loi de finances de 2022 « n’est pas la meilleure loi de finances possible, mais il s’agit de l’une des…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-01-2022,Le webinaire organisé mardi 11 janvier 2022 par le Conseil des Chambres Mixtes (CCM) sur le thème : Impact de la loi de Finances 2022 et nouvelles Dispositions Fiscales  a permis…
Erasmus+ Tunisie: un bilan positif de la première phase du programme 2015-2020 (Photos + Vidéo),https://realites.com.tn/fr/erasmus-tunisie-un-bilan-positif-de-la-premiere-phase-du-programme-2015-2020-photos-video/,11-01-2022,Le bureau National Erasmus+ Tunisie a organisé ce mardi 11 janvier 2022 un séminaire pour présenter les résultats de l’étude d’Impact des projets Erasmus+ CBHE réalisés entre 2015 et 2020…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,11-01-2022,"Les réserves en devises se sont établies, à fin décembre 2021, à 7,998 milliards de dollars (environ 23, 066 milliards de dinars) (ou 136 jours d’importation), en baisse de 6%…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,11-01-2022,"Selon le dernier rapport de la Banque Centrale de Tunis (BCT) intitulé  » Les évolutions économiques et monétaires et les perspectives à moyen terme – Janvier 2021″ publié mardi, le…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,06-01-2022,"Une fois encore, les transferts d’argent des Tunisiens Résidents à l’Étranger (TRE) ont été d’un très grand secours pour la Tunisie. Leur valeur a atteint 7,5 milliards de dinars en…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,06-01-2022,"L’Autorité Tunisienne d’Investissement (TIA) a lancé mercredi, le Guide Digital de l’investisseur, lequel est disponible à l’adresse suivante : https://guide.tia.gov.tn/ Conçu et réalisé par la TIA, avec l’appui de la…"
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,05-01-2022,"La hausse des prix se poursuit en Tunisie. Pour le troisième mois consécutif, l’inflation a augmenté pour se situer à 6,6% au mois de décembre 2021, contre 6,4% en novembre…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,05-01-2022,"Les exportations tunisiennes de fruits ont augmenté de 65% en quantité, à 46,5 mille tonnes et de 78% en valeur à 134 milliards de dinars, et ce durant l’année 2021,…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,04-01-2022,"Une conférence nationale a été organisée le 28 décembre par l’Institut maghrébin pour le développement durable. Intitulée «Quelles politiques publiques permettent une plus grande inclusion économique des jeunes? », cette…"
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,04-01-2022,"Une mission économique multisectorielle sera organisée par le Conseil d’affaires tuniso-africain (TABC)  du 08 au 11 mars 2022, au Burkina Faso. Il s’agit de sa première mission économique multisectorielle pour…"
H. B.H,https://realites.com.tn/fr/author/hajerbhass9921/,03-01-2022,La présidente de la chambre nationale de l’industrie pharmaceutique (CNIP) Sarra Masmoudi a affirmé ce lundi 3 janvier 2022 que l’article 62 de la loi de finances pour l’exercice 2022…
S. B,https://realites.com.tn/fr/author/samy-ben-naceur/,03-01-2022,57291 millions de dinars tel est le budget de l’Etat de 2022 qui a subit une hausse de hausse de 1771 millions (2.3%) par rapport à 2021 a indiqué Mosaïque…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,03-01-2022,"Malgré les perturbations que la compagnie a connues au cours des six premiers mois de l’année, en raison des protestations sociales et les sit-in qui ont eu lieu dans les…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,01-01-2022,"Le gouvernement prévoit de continuer en 2022 à soutenir le secteur des carburants, des produits de base et du transport avec un montant total d’environ 7,2 milliards de dinars, ce…"
Algérie: Publication du décret relatif à un crédit de 300 MD accordé à la Tunisie,https://realites.com.tn/fr/algerie-publication-du-decret-relatif-a-un-credit-de-300-md-accorde-a-la-tunisie/,31-12-2021,"Signé à Tunis le 9 décembre courant, le décret portant ratification du protocole financier sur l’octroi à la Tunisie d’un crédit de 300 millions de dollars vient de paraitre dans…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,30-12-2021,Le potentiel africain en matière de marché et d’intelligence numérique combiné aux ressources financières et aux compétences des pays occidentaux pourrait constituer un axe de développement et de partenariat triangulaire…
La Tunisie prévoit un endettement de 6 milliards d’euros en 2022+,https://realites.com.tn/fr/la-tunisie-prevoit-un-endettement-de-6-milliards-deuros-en-2022/,29-12-2021,Le gouvernement tunisien a présenté mardi 28 décembre le budget de l’année 2022 qui prévoit un endettement de près de 6 milliards d’euros pour relancer une économie lourdement affectée par…
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,27-12-2021,"Les informations au sujet de la Loi de Finances 2022 fuitent au compte-gouttes. Ce lundi 27 décembre 2021, on apprend que le déficit budgétaire devrait atteindre 8,548 milliards de dinars…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,25-12-2021,Le Fonds monétaire international (FMI) va maintenir pendant dix-huit mois supplémentaires un accès plus souple à ses fonds d’urgence pour aider les pays aux difficultés persistantes liées à la crise…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,24-12-2021,"La tendance baissière est encore d’actualité sur la bourse de Tunis. L’indice de référence a baissé de 0,08%, à 6911,66 points, dans un modeste volume de 3 millions de dinars…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,24-12-2021,L’Organisation professionnelle des entrepreneurs Tunisia à appelé à adopter des mesures exceptionnelles urgentes et audacieuses pour aider les entreprises économiques à faire face aux difficultés du Covid-19 Dans un communiqué…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,23-12-2021,"La Confédération des Entreprises Citoyennes de Tunisie, Conect International a exprimé, jeudi, sa profonde inquiétude face à la nouvelle mesure relative à la suspension du régime d’exonération- TVA pour les…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,22-12-2021,"Plus de vingt projets (21) dans différents secteurs et différentes régions, ont été réalisés (investissements directs), jusqu’au 31 décembre 2020, moyennant une participation de 104,9 millions de dinars, indique la…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,22-12-2021,"Maher Ben Ismail, l’un des propriétaires de la ferme familiale Ben Ismail, à Toukaber, à douze kilomètres de Medjez El Bab (gouvernorat de Béja) a annoncé que l’huile d’olive « Nasr…"
Pass sanitaire obligatoire: les restaurants vont-ils respecter les mesures?,https://realites.com.tn/fr/pass-sanitaire-obligatoire-les-restaurants-vont-ils-respecter-les-mesures/,21-12-2021,Un grand nombre de propriétaires de restaurants ont contesté la décision obligeant les citoyens à se munir d’un pass sanitaire pour pouvoir accéder aux espaces publics y compris les restaurants.…
La Rédaction,https://realites.com.tn/fr/author/realites5201/,21-12-2021,"Le taux d’avancement de la cueillette des olives au gouvernorat de Siliana, depuis le démarrage de la saison jusqu’à la fin de la semaine dernière, a atteint 40% soit près…"
La Rédaction,https://realites.com.tn/fr/author/realites5201/,20-12-2021,La Fédération régionale des agences de voyages au sud-Ouest (Tozeur et Gafsa) prévoit l’affluence de 35 à 40 mille visiteurs durant les vacances d’hiver et qui passeraient près de 100…
F. K,https://realites.com.tn/fr/author/fakhri-khlissa/,17-12-2021,"Les recettes touristiques ont enregistré une petite amélioration jusqu’au 10 décembre 2021 : une augmentation de 7% par rapport à la même période en 2020, atteignant les 2,1 milliards de…"
